X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
151.917726,-33.51224195,457.2,1500 Area-Boundary,66,0,0,66,15000066,33,30,44.07,S,151,55,03.81,E
151.9266172,-33.52300904,457.2,1500 Area-Boundary,67,0,0,67,15000067,33,31,22.83,S,151,55,35.82,E
151.9266173,-33.52300905,457.2,1500 Area-Boundary,68,0,0,68,15000068,33,31,22.83,S,151,55,35.82,E
151.9352855,-33.53390364,457.2,1500 Area-Boundary,69,0,0,69,15000069,33,32,02.05,S,151,56,07.03,E
151.9352855,-33.53390365,457.2,1500 Area-Boundary,70,0,0,70,15000070,33,32,02.05,S,151,56,07.03,E
151.9437279,-33.54492247,457.2,1500 Area-Boundary,71,0,0,71,15000071,33,32,41.72,S,151,56,37.42,E
151.9437279,-33.54492249,457.2,1500 Area-Boundary,72,0,0,72,15000072,33,32,41.72,S,151,56,37.42,E
151.951942,-33.55606225,457.2,1500 Area-Boundary,73,0,0,73,15000073,33,33,21.82,S,151,57,06.99,E
151.951942,-33.55606226,457.2,1500 Area-Boundary,74,0,0,74,15000074,33,33,21.82,S,151,57,06.99,E
151.9599252,-33.56731962,457.2,1500 Area-Boundary,75,0,0,75,15000075,33,34,02.35,S,151,57,35.73,E
151.9599252,-33.56731964,457.2,1500 Area-Boundary,76,0,0,76,15000076,33,34,02.35,S,151,57,35.73,E
151.9676749,-33.57869123,457.2,1500 Area-Boundary,77,0,0,77,15000077,33,34,43.29,S,151,58,03.63,E
151.9676749,-33.57869124,457.2,1500 Area-Boundary,78,0,0,78,15000078,33,34,43.29,S,151,58,03.63,E
151.9751888,-33.59017365,457.2,1500 Area-Boundary,79,0,0,79,15000079,33,35,24.63,S,151,58,30.68,E
151.9751888,-33.59017367,457.2,1500 Area-Boundary,80,0,0,80,15000080,33,35,24.63,S,151,58,30.68,E
151.9824646,-33.60176346,457.2,1500 Area-Boundary,81,0,0,81,15000081,33,36,06.35,S,151,58,56.87,E
151.9824646,-33.60176347,457.2,1500 Area-Boundary,82,0,0,82,15000082,33,36,06.35,S,151,58,56.87,E
151.9894999,-33.61345717,457.2,1500 Area-Boundary,83,0,0,83,15000083,33,36,48.45,S,151,59,22.20,E
151.9894999,-33.61345718,457.2,1500 Area-Boundary,84,0,0,84,15000084,33,36,48.45,S,151,59,22.20,E
151.9962925,-33.62525127,457.2,1500 Area-Boundary,85,0,0,85,15000085,33,37,30.90,S,151,59,46.65,E
151.9962925,-33.62525128,457.2,1500 Area-Boundary,86,0,0,86,15000086,33,37,30.90,S,151,59,46.65,E
152.0028404,-33.63714222,457.2,1500 Area-Boundary,87,0,0,87,15000087,33,38,13.71,S,152,00,10.23,E
152.0028404,-33.63714223,457.2,1500 Area-Boundary,88,0,0,88,15000088,33,38,13.71,S,152,00,10.23,E
152.0091414,-33.64912645,457.2,1500 Area-Boundary,89,0,0,89,15000089,33,38,56.86,S,152,00,32.91,E
152.0091414,-33.64912647,457.2,1500 Area-Boundary,90,0,0,90,15000090,33,38,56.86,S,152,00,32.91,E
152.0151935,-33.66120037,457.2,1500 Area-Boundary,91,0,0,91,15000091,33,39,40.32,S,152,00,54.70,E
152.0151935,-33.66120038,457.2,1500 Area-Boundary,92,0,0,92,15000092,33,39,40.32,S,152,00,54.70,E
152.0209949,-33.67336034,457.2,1500 Area-Boundary,93,0,0,93,15000093,33,40,24.10,S,152,01,15.58,E
152.0209949,-33.67336035,457.2,1500 Area-Boundary,94,0,0,94,15000094,33,40,24.10,S,152,01,15.58,E
152.0265436,-33.6856027,457.2,1500 Area-Boundary,95,0,0,95,15000095,33,41,08.17,S,152,01,35.56,E
152.0265436,-33.68560272,457.2,1500 Area-Boundary,96,0,0,96,15000096,33,41,08.17,S,152,01,35.56,E
152.0318379,-33.69792378,457.2,1500 Area-Boundary,97,0,0,97,15000097,33,41,52.53,S,152,01,54.62,E
152.0318379,-33.6979238,457.2,1500 Area-Boundary,98,0,0,98,15000098,33,41,52.53,S,152,01,54.62,E
152.0368761,-33.71031987,448.056,1500 Area-Boundary,99,0,0,99,15000099,33,42,37.15,S,152,02,12.75,E
152.0368761,-33.71031988,448.056,1500 Area-Boundary,100,0,0,100,15000100,33,42,37.15,S,152,02,12.75,E
152.0416565,-33.72278723,448.056,1500 Area-Boundary,101,0,0,101,15000101,33,43,22.03,S,152,02,29.96,E
152.0416565,-33.72278724,448.056,1500 Area-Boundary,102,0,0,102,15000102,33,43,22.03,S,152,02,29.96,E
152.0461777,-33.73532211,448.056,1500 Area-Boundary,103,0,0,103,15000103,33,44,07.16,S,152,02,46.24,E
152.0461777,-33.73532212,448.056,1500 Area-Boundary,104,0,0,104,15000104,33,44,07.16,S,152,02,46.24,E
152.0504381,-33.74792073,448.056,1500 Area-Boundary,105,0,0,105,15000105,33,44,52.51,S,152,03,01.58,E
152.0504381,-33.74792074,448.056,1500 Area-Boundary,106,0,0,106,15000106,33,44,52.51,S,152,03,01.58,E
152.0544363,-33.76057929,448.056,1500 Area-Boundary,107,0,0,107,15000107,33,45,38.09,S,152,03,15.97,E
152.0544363,-33.76057931,448.056,1500 Area-Boundary,108,0,0,108,15000108,33,45,38.09,S,152,03,15.97,E
152.0581711,-33.77329398,448.056,1500 Area-Boundary,109,0,0,109,15000109,33,46,23.86,S,152,03,29.42,E
152.0581711,-33.773294,448.056,1500 Area-Boundary,110,0,0,110,15000110,33,46,23.86,S,152,03,29.42,E
152.0616411,-33.78606097,448.056,1500 Area-Boundary,111,0,0,111,15000111,33,47,09.82,S,152,03,41.91,E
152.0616411,-33.78606098,448.056,1500 Area-Boundary,112,0,0,112,15000112,33,47,09.82,S,152,03,41.91,E
152.0648452,-33.79887639,448.056,1500 Area-Boundary,113,0,0,113,15000113,33,47,55.96,S,152,03,53.44,E
152.0648452,-33.79887641,448.056,1500 Area-Boundary,114,0,0,114,15000114,33,47,55.96,S,152,03,53.44,E
152.0677823,-33.81173638,448.056,1500 Area-Boundary,115,0,0,115,15000115,33,48,42.25,S,152,04,04.02,E
152.0677823,-33.8117364,448.056,1500 Area-Boundary,116,0,0,116,15000116,33,48,42.25,S,152,04,04.02,E
152.0704515,-33.82463705,448.056,1500 Area-Boundary,117,0,0,117,15000117,33,49,28.69,S,152,04,13.63,E
152.0704515,-33.82463707,448.056,1500 Area-Boundary,118,0,0,118,15000118,33,49,28.69,S,152,04,13.63,E
152.0728517,-33.83757451,448.056,1500 Area-Boundary,119,0,0,119,15000119,33,50,15.27,S,152,04,22.27,E
152.0728517,-33.83757452,448.056,1500 Area-Boundary,120,0,0,120,15000120,33,50,15.27,S,152,04,22.27,E
152.0749821,-33.85054484,448.056,1500 Area-Boundary,121,0,0,121,15000121,33,51,01.96,S,152,04,29.94,E
152.0749821,-33.85054485,448.056,1500 Area-Boundary,122,0,0,122,15000122,33,51,01.96,S,152,04,29.94,E
152.0768421,-33.86354411,448.056,1500 Area-Boundary,123,0,0,123,15000123,33,51,48.76,S,152,04,36.63,E
152.0768421,-33.86354413,448.056,1500 Area-Boundary,124,0,0,124,15000124,33,51,48.76,S,152,04,36.63,E
152.0784308,-33.87656841,448.056,1500 Area-Boundary,125,0,0,125,15000125,33,52,35.65,S,152,04,42.35,E
152.0784308,-33.87656842,448.056,1500 Area-Boundary,126,0,0,126,15000126,33,52,35.65,S,152,04,42.35,E
152.0797476,-33.88961377,448.056,1500 Area-Boundary,127,0,0,127,15000127,33,53,22.61,S,152,04,47.09,E
152.0797476,-33.88961378,448.056,1500 Area-Boundary,128,0,0,128,15000128,33,53,22.61,S,152,04,47.09,E
152.0807922,-33.90267625,448.056,1500 Area-Boundary,129,0,0,129,15000129,33,54,09.63,S,152,04,50.85,E
152.0807922,-33.90267627,448.056,1500 Area-Boundary,130,0,0,130,15000130,33,54,09.63,S,152,04,50.85,E
152.0815639,-33.91575189,448.056,1500 Area-Boundary,131,0,0,131,15000131,33,54,56.71,S,152,04,53.63,E
152.0815639,-33.91575191,448.056,1500 Area-Boundary,132,0,0,132,15000132,33,54,56.71,S,152,04,53.63,E
152.0820625,-33.92883673,448.056,1500 Area-Boundary,133,0,0,133,15000133,33,55,43.81,S,152,04,55.43,E
152.0820625,-33.92883675,448.056,1500 Area-Boundary,134,0,0,134,15000134,33,55,43.81,S,152,04,55.43,E
152.0822877,-33.9419268,448.056,1500 Area-Boundary,135,0,0,135,15000135,33,56,30.94,S,152,04,56.24,E
152.0822877,-33.94192682,448.056,1500 Area-Boundary,136,0,0,136,15000136,33,56,30.94,S,152,04,56.24,E
152.0822393,-33.95501813,448.056,1500 Area-Boundary,137,0,0,137,15000137,33,57,18.07,S,152,04,56.06,E
152.0822393,-33.95501814,448.056,1500 Area-Boundary,138,0,0,138,15000138,33,57,18.07,S,152,04,56.06,E
152.0819171,-33.96810673,448.056,1500 Area-Boundary,139,0,0,139,15000139,33,58,05.18,S,152,04,54.90,E
152.0819171,-33.96810675,448.056,1500 Area-Boundary,140,0,0,140,15000140,33,58,05.18,S,152,04,54.90,E
152.0813212,-33.98118865,448.056,1500 Area-Boundary,141,0,0,141,15000141,33,58,52.28,S,152,04,52.76,E
152.0813212,-33.98118866,448.056,1500 Area-Boundary,142,0,0,142,15000142,33,58,52.28,S,152,04,52.76,E
152.0804515,-33.99425989,448.056,1500 Area-Boundary,143,0,0,143,15000143,33,59,39.34,S,152,04,49.63,E
152.0804515,-33.99425991,448.056,1500 Area-Boundary,144,0,0,144,15000144,33,59,39.34,S,152,04,49.63,E
152.0793083,-34.00731649,448.056,1500 Area-Boundary,145,0,0,145,15000145,34,00,26.34,S,152,04,45.51,E
